term,individual_p,mean_group_p,min_group_p,max_group_p,std_group_p,consistency
reduce fever,0.2216619098567908,0.22166190985679082,0.2216619098567908,0.2216619098567908,2.7755575615628914e-17,Never
robitussin,0.17559432563337485,0.17559432563337482,0.17559432563337485,0.17559432563337485,2.7755575615628914e-17,Never
rsv symptoms,0.027060130372712043,0.027060130372712043,0.027060130372712043,0.027060130372712043,0.0,Consistent
signs of flu,0.13531816573973776,0.13531816573973776,0.13531816573973776,0.13531816573973776,0.0,Never
sinus,0.5286793828361704,0.5286793828361704,0.5286793828361704,0.5286793828361704,0.0,Never
sinus infections,0.16782401452447104,0.16782401452447102,0.16782401452447104,0.16782401452447104,2.7755575615628914e-17,Never
sinus medicine,0.22351158752360323,0.22351158752360326,0.22351158752360323,0.22351158752360323,2.7755575615628914e-17,Never
spanish flu,0.8621558131698108,0.8621558131698107,0.8621558131698108,0.8621558131698108,1.1102230246251565e-16,Never
stomach flu,0.010426913332268528,0.010426913332268528,0.010426913332268528,0.010426913332268528,0.0,Consistent
stomach flu diarrhea,0.10213283546062413,0.10213283546062413,0.10213283546062413,0.10213283546062413,0.0,Never
stomach flu symptoms,0.0041913212365281005,0.0041913212365281005,0.0041913212365281005,0.0041913212365281005,0.0,Consistent
stomach flu virus,0.18519966905114105,0.18519966905114105,0.18519966905114105,0.18519966905114105,0.0,Never
stomach virus,0.10689838372209148,0.1068983837220915,0.10689838372209148,0.10689838372209148,1.3877787807814457e-17,Never
stomach virus symptoms,0.7989908149513897,0.7989908149513897,0.7989908149513897,0.7989908149513897,0.0,Never
strep,0.5383704190489619,0.5383704190489618,0.5383704190489619,0.5383704190489619,1.1102230246251565e-16,Never
strep throat,0.8182627566044113,0.8182627566044114,0.8182627566044113,0.8182627566044113,1.1102230246251565e-16,Never
symptoms of a cold,0.37314891001589245,0.37314891001589245,0.37314891001589245,0.37314891001589245,0.0,Never
symptoms of bronchitis,0.04323454425961559,0.04323454425961559,0.04323454425961559,0.04323454425961559,0.0,Consistent
symptoms of cold,0.036054386128630767,0.036054386128630767,0.036054386128630767,0.036054386128630767,0.0,Consistent
symptoms of fever,0.7533409522195197,0.7533409522195196,0.7533409522195197,0.7533409522195197,1.1102230246251565e-16,Never
symptoms of pneumonia,0.00017740862839665805,0.00017740862839665805,0.00017740862839665805,0.00017740862839665805,0.0,Consistent
symptoms of stomach flu,0.0873121686792745,0.08731216867927448,0.0873121686792745,0.0873121686792745,1.3877787807814457e-17,Never
symptoms of the flu,0.5870019707816931,0.587001970781693,0.5870019707816931,0.5870019707816931,1.1102230246251565e-16,Never
taking temperature,0.8756340551168574,0.8756340551168573,0.8756340551168574,0.8756340551168574,1.1102230246251565e-16,Never
tessalon,0.014902371238858292,0.014902371238858292,0.014902371238858292,0.014902371238858292,0.0,Consistent
the flu,0.3414006019332849,0.34140060193328486,0.3414006019332849,0.3414006019332849,5.551115123125783e-17,Never
the flu symptoms,0.2600689420929193,0.26006894209291936,0.2600689420929193,0.2600689420929193,5.551115123125783e-17,Never
the flu virus,0.2848067393274052,0.2848067393274052,0.2848067393274052,0.2848067393274052,0.0,Never
the flue,0.018468126151027997,0.018468126151027997,0.018468126151027997,0.018468126151027997,0.0,Consistent
thermoscan,0.437167722016393,0.4371677220163929,0.437167722016393,0.437167722016393,5.551115123125783e-17,Never
treat flu,0.6617576821194282,0.6617576821194283,0.6617576821194282,0.6617576821194282,1.1102230246251565e-16,Never
tussin,0.034698739634582476,0.034698739634582476,0.034698739634582476,0.034698739634582476,0.0,Consistent
tussionex,0.7152616652307564,0.7152616652307563,0.7152616652307564,0.7152616652307564,1.1102230246251565e-16,Never
tylenol extra strength,0.008525970458440613,0.008525970458440613,0.008525970458440613,0.008525970458440613,0.0,Consistent
upper respiratory,0.027833888922798256,0.027833888922798256,0.027833888922798256,0.027833888922798256,0.0,Consistent
vomiting,0.14848621888899682,0.14848621888899682,0.14848621888899682,0.14848621888899682,0.0,Never
walking pneumonia,0.0003870913238140927,0.0003870913238140927,0.0003870913238140927,0.0003870913238140927,0.0,Consistent
what is a fever,0.5179841127099393,0.5179841127099393,0.5179841127099393,0.5179841127099393,0.0,Never
what is the flu,0.550028155982016,0.550028155982016,0.550028155982016,0.550028155982016,0.0,Never
covid + covid deaths + covid incubation period + covid vs flu vs cold + incubation period for covid + medicine for covid + spanish flu vs covid,0.9494974104539065,0.9494974104539068,0.9494974104539065,0.9494974104539065,3.3306690738754696e-16,Never
1918 spanish flu + cold vs flu vs allergies + covid 19 + h1n1 avian flu + spanish flu death toll + spanish flu deaths + spanish flu epidemic + spanish flu h1n1 + spanish flu of 1918 + spanish flu origin + spanish flu pandemic + spanish flu symptoms + spanish flu virus + spanish flu ww1 + spanish flue + the spanish flu + the spanish flu pandemic + was the spanish flu a pandemic + when was spanish flu,0.8625356811321226,0.8625356811321228,0.8625356811321226,0.8625356811321226,1.1102230246251565e-16,Never
avian bird flu + avian flu h5n1 + avian flu symptoms + avian flu vaccine + bird flu pandemic + bird flu symptoms + bird flu vaccine + bird flu virus + cdc avian flu + cdc bird flu + h5n1 bird flu + human bird flu + new bird flu + symptoms of bird flu + what is bird flu,0.30329389559713027,0.3032938955971303,0.30329389559713027,0.30329389559713027,5.551115123125783e-17,Never
avian flu news + avian flu outbreak + bird flu outbreak + covid vs flu vs cold chart + flu symptoms vs common cold + flu virus incubation period + flu vs common cold + head cold vs flu + symptoms of a cold vs flu + tylenol cold and flu while pregnant,0.8800775840454873,0.8800775840454873,0.8800775840454873,0.8800775840454873,0.0,Never
2024 flu strain + cold and flu medicine for kids + is the spanish flu influenza,0.332650743362063,0.33265074336206296,0.332650743362063,0.332650743362063,5.551115123125783e-17,Never
avian flu california + avian flu symptoms in humans + avian influenza symptoms + best cold and flu medicine for adults + best cough medicine for flu + best medicine for flu and cough + best over the counter cold and flu medicine + children's mucinex cold and flu + cold and flu medicine for adults + current flu symptoms 2024 + cvs cold and flu medicine + flu gestation period + flu medicine for kids + flu no cough + flu reports + flu symptoms 2024 adults + human avian flu + influenza b symptoms in adults + mucinex cold and flu ingredients + mucinex cold and flu liquid + mucinex fast max cold flu and sore throat + mucinex fast-max cold and flu + mucinex nightshift cold and flu + mucinex pills + new avian flu + new flu symptoms 2024 + nighttime cold and flu medicine + period flu reddit + period flu sore throat + symptoms of bird flu in humans + symptoms of flu type a + symptoms of the bird flu + the bird flu symptoms + tylenol cold and flu day and night + tylenol cold and flu pills + tylenol cold and flu pregnancy + tylenol cold and flu severe liquid + tylenol cold and flu severe night + tylenol cold and flu walmart + tylenol nighttime cold and flu + tylenol severe cold and flu liquid + type a flu treatment + walgreens cold and flu + walgreens cold and flu medicine,0.32164070138514456,0.3216407013851445,0.32164070138514456,0.32164070138514456,5.551115123125783e-17,Never
cold symptoms 2024 + flu 2024 + flu a symptoms 2024 + flu b symptoms 2024 + flu season 2024 + norovirus 2024 + norovirus 2024 symptoms + stomach flu 2024 + stomach flu symptoms 2024 + symptoms of covid 2024 + symptoms of flu 2024 + symptoms of the flu 2024,0.8983468769748311,0.898346876974831,0.8983468769748311,0.8983468769748311,1.1102230246251565e-16,Never
avian flu 2024 + avian flu in milk + bird flu 2024 symptoms + bird flu humans + bird flu in humans + bird flu in milk + bird flu milk + bird flu symptoms humans + bird flu symptoms in humans + bird flu to humans + bird flu vs avian flu + flu outbreak 2024,0.3319119875947518,0.33191198759475177,0.3319119875947518,0.3319119875947518,5.551115123125783e-17,Never
avian flu humans + avian flu in chickens + avian flu in humans + avian flu michigan + avian flu symptoms in chickens + bird flu avian influenza + bird flu texas + flu type a incubation period + symptoms of avian flu + what is avian flu,0.004276373990892868,0.004276373990892868,0.004276373990892868,0.004276373990892868,0.0,Consistent
advil cold and flu + allergies vs cold + best cold and flu medicine + best cold flu medicine + best medicine for cold and flu + best medicine for flu and cold + body aches no fever + children's tylenol + cold and flu alka seltzer + cold flu medicine + coricidin cold and flu + cough and cold medicine + cough and flu medicine + dayquil cold and flu + dayquil severe cold and flu + daytime cold and flu + equate cold and flu + fever breaks + flu and cough medicine + flu cough medicine + how to break a fever + how to bring a fever down + is stomach flu going around + is the flu going around + kids cold and flu + kids flu medicine + medicine for cold and flu + medicine for fever + mucinex cold and flu + mucinex cough medicine + mucinex fast max + mucinex max cold and flu + mucinex night shift + mucinex sinus max + mucinex sore throat + nighttime cold and flu + nyquil cold and flu + nyquil cold and flu severe + nyquil severe cold and flu + reduce a fever + severe cold and flu + severe cold and flu medicine + severe flu medicine + stomach flu going around + symptoms of stomach bug + theraflu cold and flu + tylenol cold and flu + tylenol cold flu + tylenol cough and cold + tylenol for cold and flu + tylenol severe cold and flu + type a vs type b + vicks cold and flu,0.11552981455041222,0.11552981455041221,0.11552981455041222,0.11552981455041222,1.3877787807814457e-17,Never
best flu medicine for adults + children's tylenol cold and flu + cold and flu medicine liquid + flu a symptoms 2023 + flu b symptoms 2023 + flu medicine for adults + flu symptoms 2023 + kids cold and flu medicine + mucinex cold and flu dosage + mucinex cold and flu medicine + mucinex cold flu and sore throat + mucinex severe cold and flu + nba in-season tournament + over the counter flu test + symptoms of rsv + tylenol cold and flu breastfeeding + tylenol cold and flu ingredients + tylenol cold and flu kids + tylenol cold and flu night + walgreens tylenol cold and flu,0.4753063102739611,0.4753063102739611,0.4753063102739611,0.4753063102739611,0.0,Never
