"time","geo_value","geo_type","covid","Season","flu","rsv"
"2020-06-13","Central","OH Region",128,"2019-2020",NA,NA
"2020-06-13","East","OH Region",55,"2019-2020",NA,NA
"2020-06-13","North East","OH Region",3,"2019-2020",NA,NA
"2020-06-13","North West","OH Region",4,"2019-2020",NA,NA
"2020-06-13","Ontario","Province",512,"2019-2020",NA,NA
"2020-06-13","Toronto","OH Region",252,"2019-2020",NA,NA
"2020-06-13","West","OH Region",83,"2019-2020",NA,NA
"2020-06-20","Central","OH Region",87,"2019-2020",NA,NA
"2020-06-20","East","OH Region",31,"2019-2020",NA,NA
"2020-06-20","North East","OH Region",3,"2019-2020",NA,NA
"2020-06-20","North West","OH Region",5,"2019-2020",NA,NA
"2020-06-20","Ontario","Province",340,"2019-2020",NA,NA
"2020-06-20","Toronto","OH Region",175,"2019-2020",NA,NA
"2020-06-20","West","OH Region",49,"2019-2020",NA,NA
"2020-06-27","Central","OH Region",72,"2019-2020",NA,NA
"2020-06-27","East","OH Region",13,"2019-2020",NA,NA
"2020-06-27","North East","OH Region",2,"2019-2020",NA,NA
"2020-06-27","North West","OH Region",5,"2019-2020",NA,NA
"2020-06-27","Ontario","Province",259,"2019-2020",NA,NA
"2020-06-27","Toronto","OH Region",135,"2019-2020",NA,NA
"2020-06-27","West","OH Region",40,"2019-2020",NA,NA
"2020-07-04","Central","OH Region",46,"2019-2020",NA,NA
"2020-07-04","East","OH Region",10,"2019-2020",NA,NA
"2020-07-04","North East","OH Region",1,"2019-2020",NA,NA
"2020-07-04","North West","OH Region",2,"2019-2020",NA,NA
"2020-07-04","Ontario","Province",165,"2019-2020",NA,NA
"2020-07-04","Toronto","OH Region",82,"2019-2020",NA,NA
"2020-07-04","West","OH Region",31,"2019-2020",NA,NA
"2020-07-11","Central","OH Region",33,"2019-2020",NA,NA
"2020-07-11","East","OH Region",8,"2019-2020",NA,NA
"2020-07-11","North East","OH Region",1,"2019-2020",NA,NA
"2020-07-11","North West","OH Region",2,"2019-2020",NA,NA
"2020-07-11","Ontario","Province",125,"2019-2020",NA,NA
"2020-07-11","Toronto","OH Region",69,"2019-2020",NA,NA
"2020-07-11","West","OH Region",19,"2019-2020",NA,NA
"2020-07-18","Central","OH Region",28,"2019-2020",NA,NA
