"time","geo_value","geo_type","covid","Season","flu","rsv"
"2022-01-29","Ontario","Province",3565,"2021-2022",NA,NA
"2022-01-29","Toronto","OH Region",994,"2021-2022",NA,NA
"2022-01-29","West","OH Region",1032,"2021-2022",NA,NA
"2022-02-05","Central","OH Region",525,"2021-2022",NA,NA
"2022-02-05","East","OH Region",474,"2021-2022",NA,NA
"2022-02-05","North East","OH Region",156,"2021-2022",NA,NA
"2022-02-05","North West","OH Region",67,"2021-2022",NA,NA
"2022-02-05","Ontario","Province",2674,"2021-2022",NA,NA
"2022-02-05","Toronto","OH Region",645,"2021-2022",NA,NA
"2022-02-05","West","OH Region",822,"2021-2022",NA,NA
"2022-02-12","Central","OH Region",324,"2021-2022",NA,NA
"2022-02-12","East","OH Region",330,"2021-2022",NA,NA
"2022-02-12","North East","OH Region",138,"2021-2022",NA,NA
"2022-02-12","North West","OH Region",62,"2021-2022",NA,NA
"2022-02-12","Ontario","Province",1828,"2021-2022",NA,NA
"2022-02-12","Toronto","OH Region",380,"2021-2022",NA,NA
"2022-02-12","West","OH Region",609,"2021-2022",NA,NA
"2022-02-19","Central","OH Region",217,"2021-2022",NA,NA
"2022-02-19","East","OH Region",255,"2021-2022",NA,NA
"2022-02-19","North East","OH Region",107,"2021-2022",NA,NA
"2022-02-19","North West","OH Region",59,"2021-2022",NA,NA
"2022-02-19","Ontario","Province",1296,"2021-2022",NA,NA
"2022-02-19","Toronto","OH Region",241,"2021-2022",NA,NA
"2022-02-19","West","OH Region",431,"2021-2022",NA,NA
"2022-02-26","Central","OH Region",162,"2021-2022",NA,NA
"2022-02-26","East","OH Region",204,"2021-2022",NA,NA
"2022-02-26","North East","OH Region",110,"2021-2022",NA,NA
"2022-02-26","North West","OH Region",56,"2021-2022",NA,NA
"2022-02-26","Ontario","Province",1026,"2021-2022",NA,NA
"2022-02-26","Toronto","OH Region",172,"2021-2022",NA,NA
"2022-02-26","West","OH Region",335,"2021-2022",NA,NA
"2022-03-05","Central","OH Region",130,"2021-2022",NA,NA
"2022-03-05","East","OH Region",145,"2021-2022",NA,NA
"2022-03-05","North East","OH Region",112,"2021-2022",NA,NA
"2022-03-05","North West","OH Region",47,"2021-2022",NA,NA
"2022-03-05","Ontario","Province",821,"2021-2022",NA,NA
"2022-03-05","Toronto","OH Region",136,"2021-2022",NA,NA
"2022-03-05","West","OH Region",264,"2021-2022",NA,NA
"2022-03-12","Central","OH Region",118,"2021-2022",NA,NA
"2022-03-12","East","OH Region",135,"2021-2022",NA,NA
"2022-03-12","North East","OH Region",101,"2021-2022",NA,NA
"2022-03-12","North West","OH Region",41,"2021-2022",NA,NA
"2022-03-12","Ontario","Province",725,"2021-2022",NA,NA
"2022-03-12","Toronto","OH Region",120,"2021-2022",NA,NA
"2022-03-12","West","OH Region",226,"2021-2022",NA,NA
"2022-03-19","Central","OH Region",103,"2021-2022",NA,NA
"2022-03-19","East","OH Region",128,"2021-2022",NA,NA
"2022-03-19","North East","OH Region",87,"2021-2022",NA,NA
"2022-03-19","North West","OH Region",34,"2021-2022",NA,NA
"2022-03-19","Ontario","Province",639,"2021-2022",NA,NA
"2022-03-19","Toronto","OH Region",90,"2021-2022",NA,NA
"2022-03-19","West","OH Region",208,"2021-2022",NA,NA
"2022-03-26","Central","OH Region",136,"2021-2022",NA,NA
"2022-03-26","East","OH Region",121,"2021-2022",NA,NA
"2022-03-26","North East","OH Region",74,"2021-2022",NA,NA
"2022-03-26","North West","OH Region",33,"2021-2022",NA,NA
"2022-03-26","Ontario","Province",684,"2021-2022",NA,NA
"2022-03-26","Toronto","OH Region",109,"2021-2022",NA,NA
"2022-03-26","West","OH Region",226,"2021-2022",NA,NA
"2022-04-02","Central","OH Region",174,"2021-2022",NA,NA
"2022-04-02","East","OH Region",155,"2021-2022",NA,NA
"2022-04-02","North East","OH Region",84,"2021-2022",NA,NA
"2022-04-02","North West","OH Region",32,"2021-2022",NA,NA
"2022-04-02","Ontario","Province",846,"2021-2022",NA,NA
"2022-04-02","Toronto","OH Region",136,"2021-2022",NA,NA
"2022-04-02","West","OH Region",281,"2021-2022",NA,NA
"2022-04-09","Central","OH Region",245,"2021-2022",NA,NA
"2022-04-09","East","OH Region",227,"2021-2022",NA,NA
"2022-04-09","North East","OH Region",111,"2021-2022",NA,NA
"2022-04-09","North West","OH Region",29,"2021-2022",NA,NA
"2022-04-09","Ontario","Province",1167,"2021-2022",NA,NA
"2022-04-09","Toronto","OH Region",231,"2021-2022",NA,NA
"2022-04-09","West","OH Region",341,"2021-2022",NA,NA
"2022-04-16","Central","OH Region",284,"2021-2022",NA,NA
"2022-04-16","East","OH Region",272,"2021-2022",NA,NA
"2022-04-16","North East","OH Region",126,"2021-2022",NA,NA
"2022-04-16","North West","OH Region",38,"2021-2022",NA,NA
"2022-04-16","Ontario","Province",1448,"2021-2022",NA,NA
"2022-04-16","Toronto","OH Region",295,"2021-2022",NA,NA
"2022-04-16","West","OH Region",447,"2021-2022",NA,NA
"2022-04-23","Central","OH Region",299,"2021-2022",NA,NA
"2022-04-23","East","OH Region",321,"2021-2022",NA,NA
"2022-04-23","North East","OH Region",133,"2021-2022",NA,NA
"2022-04-23","North West","OH Region",45,"2021-2022",NA,NA
"2022-04-23","Ontario","Province",1662,"2021-2022",NA,NA
"2022-04-23","Toronto","OH Region",345,"2021-2022",NA,NA
"2022-04-23","West","OH Region",536,"2021-2022",NA,NA
"2022-04-30","Central","OH Region",308,"2021-2022",NA,NA
"2022-04-30","East","OH Region",331,"2021-2022",NA,NA
"2022-04-30","North East","OH Region",150,"2021-2022",NA,NA
"2022-04-30","North West","OH Region",50,"2021-2022",NA,NA
"2022-04-30","Ontario","Province",1721,"2021-2022",NA,NA
"2022-04-30","Toronto","OH Region",364,"2021-2022",NA,NA
"2022-04-30","West","OH Region",532,"2021-2022",NA,NA
"2022-05-07","Central","OH Region",324,"2021-2022",NA,NA
"2022-05-07","East","OH Region",309,"2021-2022",NA,NA
"2022-05-07","North East","OH Region",149,"2021-2022",NA,NA
"2022-05-07","North West","OH Region",66,"2021-2022",NA,NA
"2022-05-07","Ontario","Province",1671,"2021-2022",NA,NA
"2022-05-07","Toronto","OH Region",338,"2021-2022",NA,NA
"2022-05-07","West","OH Region",496,"2021-2022",NA,NA
"2022-05-14","Central","OH Region",289,"2021-2022",NA,NA
"2022-05-14","East","OH Region",270,"2021-2022",NA,NA
"2022-05-14","North East","OH Region",123,"2021-2022",NA,NA
"2022-05-14","North West","OH Region",66,"2021-2022",NA,NA
"2022-05-14","Ontario","Province",1440,"2021-2022",NA,NA
"2022-05-14","Toronto","OH Region",282,"2021-2022",NA,NA
"2022-05-14","West","OH Region",423,"2021-2022",NA,NA
"2022-05-21","Central","OH Region",242,"2021-2022",NA,NA
"2022-05-21","East","OH Region",215,"2021-2022",NA,NA
"2022-05-21","North East","OH Region",91,"2021-2022",NA,NA
"2022-05-21","North West","OH Region",50,"2021-2022",NA,NA
"2022-05-21","Ontario","Province",1182,"2021-2022",NA,NA
"2022-05-21","Toronto","OH Region",257,"2021-2022",NA,NA
"2022-05-21","West","OH Region",340,"2021-2022",NA,NA
"2022-05-28","Central","OH Region",196,"2021-2022",NA,NA
"2022-05-28","East","OH Region",169,"2021-2022",NA,NA
"2022-05-28","North East","OH Region",77,"2021-2022",NA,NA
"2022-05-28","North West","OH Region",38,"2021-2022",NA,NA
"2022-05-28","Ontario","Province",945,"2021-2022",NA,NA
"2022-05-28","Toronto","OH Region",203,"2021-2022",NA,NA
"2022-05-28","West","OH Region",277,"2021-2022",NA,NA
"2022-06-04","Central","OH Region",156,"2021-2022",NA,NA
"2022-06-04","East","OH Region",120,"2021-2022",NA,NA
"2022-06-04","North East","OH Region",51,"2021-2022",NA,NA
"2022-06-04","North West","OH Region",26,"2021-2022",NA,NA
"2022-06-04","Ontario","Province",683,"2021-2022",NA,NA
"2022-06-04","Toronto","OH Region",165,"2021-2022",NA,NA
"2022-06-04","West","OH Region",179,"2021-2022",NA,NA
"2022-06-11","Central","OH Region",143,"2021-2022",NA,NA
"2022-06-11","East","OH Region",87,"2021-2022",NA,NA
"2022-06-11","North East","OH Region",58,"2021-2022",NA,NA
"2022-06-11","North West","OH Region",29,"2021-2022",NA,NA
"2022-06-11","Ontario","Province",540,"2021-2022",NA,NA
"2022-06-11","Toronto","OH Region",130,"2021-2022",NA,NA
"2022-06-11","West","OH Region",107,"2021-2022",NA,NA
"2022-06-18","Central","OH Region",127,"2021-2022",NA,NA
"2022-06-18","East","OH Region",65,"2021-2022",NA,NA
"2022-06-18","North East","OH Region",49,"2021-2022",NA,NA
"2022-06-18","North West","OH Region",30,"2021-2022",NA,NA
"2022-06-18","Ontario","Province",488,"2021-2022",NA,NA
"2022-06-18","Toronto","OH Region",132,"2021-2022",NA,NA
"2022-06-18","West","OH Region",98,"2021-2022",NA,NA
"2022-06-25","Central","OH Region",126,"2021-2022",NA,NA
"2022-06-25","East","OH Region",73,"2021-2022",NA,NA
"2022-06-25","North East","OH Region",45,"2021-2022",NA,NA
"2022-06-25","North West","OH Region",27,"2021-2022",NA,NA
"2022-06-25","Ontario","Province",499,"2021-2022",NA,NA
"2022-06-25","Toronto","OH Region",126,"2021-2022",NA,NA
"2022-06-25","West","OH Region",116,"2021-2022",NA,NA
"2022-07-02","Central","OH Region",162,"2021-2022",NA,NA
"2022-07-02","East","OH Region",93,"2021-2022",NA,NA
"2022-07-02","North East","OH Region",37,"2021-2022",NA,NA
"2022-07-02","North West","OH Region",22,"2021-2022",NA,NA
"2022-07-02","Ontario","Province",589,"2021-2022",NA,NA
"2022-07-02","Toronto","OH Region",148,"2021-2022",NA,NA
"2022-07-02","West","OH Region",142,"2021-2022",NA,NA
"2022-07-09","Central","OH Region",196,"2021-2022",NA,NA
"2022-07-09","East","OH Region",145,"2021-2022",NA,NA
"2022-07-09","North East","OH Region",46,"2021-2022",NA,NA
"2022-07-09","North West","OH Region",28,"2021-2022",NA,NA
"2022-07-09","Ontario","Province",773,"2021-2022",NA,NA
"2022-07-09","Toronto","OH Region",203,"2021-2022",NA,NA
"2022-07-09","West","OH Region",167,"2021-2022",NA,NA
"2022-07-16","Central","OH Region",279,"2021-2022",NA,NA
"2022-07-16","East","OH Region",217,"2021-2022",NA,NA
"2022-07-16","North East","OH Region",64,"2021-2022",NA,NA
"2022-07-16","North West","OH Region",26,"2021-2022",NA,NA
"2022-07-16","Ontario","Province",1055,"2021-2022",NA,NA
"2022-07-16","Toronto","OH Region",277,"2021-2022",NA,NA
"2022-07-16","West","OH Region",209,"2021-2022",NA,NA
"2022-07-23","Central","OH Region",347,"2021-2022",NA,NA
"2022-07-23","East","OH Region",319,"2021-2022",NA,NA
"2022-07-23","North East","OH Region",95,"2021-2022",NA,NA
"2022-07-23","North West","OH Region",25,"2021-2022",NA,NA
"2022-07-23","Ontario","Province",1443,"2021-2022",NA,NA
"2022-07-23","Toronto","OH Region",381,"2021-2022",NA,NA
"2022-07-23","West","OH Region",291,"2021-2022",NA,NA
"2022-07-30","Central","OH Region",325,"2021-2022",NA,NA
"2022-07-30","East","OH Region",307,"2021-2022",NA,NA
"2022-07-30","North East","OH Region",96,"2021-2022",NA,NA
"2022-07-30","North West","OH Region",32,"2021-2022",NA,NA
"2022-07-30","Ontario","Province",1505,"2021-2022",NA,NA
"2022-07-30","Toronto","OH Region",387,"2021-2022",NA,NA
"2022-07-30","West","OH Region",373,"2021-2022",NA,NA
"2022-08-06","Central","OH Region",295,"2021-2022",NA,NA
"2022-08-06","East","OH Region",279,"2021-2022",NA,NA
"2022-08-06","North East","OH Region",85,"2021-2022",NA,NA
"2022-08-06","North West","OH Region",50,"2021-2022",NA,NA
"2022-08-06","Ontario","Province",1419,"2021-2022",NA,NA
"2022-08-06","Toronto","OH Region",304,"2021-2022",NA,NA
"2022-08-06","West","OH Region",422,"2021-2022",NA,NA
"2022-08-13","Central","OH Region",250,"2021-2022",NA,NA
"2022-08-13","East","OH Region",275,"2021-2022",NA,NA
"2022-08-13","North East","OH Region",66,"2021-2022",NA,NA
"2022-08-13","North West","OH Region",40,"2021-2022",NA,NA
"2022-08-13","Ontario","Province",1354,"2021-2022",NA,NA
"2022-08-13","Toronto","OH Region",282,"2021-2022",NA,NA
"2022-08-13","West","OH Region",457,"2021-2022",NA,NA
"2022-08-20","Central","OH Region",253,"2021-2022",NA,NA
"2022-08-20","East","OH Region",257,"2021-2022",NA,NA
"2022-08-20","North East","OH Region",81,"2021-2022",NA,NA
"2022-08-20","North West","OH Region",40,"2021-2022",NA,NA
"2022-08-20","Ontario","Province",1340,"2021-2022",NA,NA
"2022-08-20","Toronto","OH Region",286,"2021-2022",NA,NA
"2022-08-20","West","OH Region",437,"2021-2022",NA,NA
"2022-08-27","Central","OH Region",254,"2022-2023",NA,NA
"2022-08-27","East","OH Region",238,"2022-2023",NA,NA
"2022-08-27","North East","OH Region",105,"2022-2023",NA,NA
"2022-08-27","North West","OH Region",47,"2022-2023",NA,NA
"2022-08-27","Ontario","Province",1318,"2022-2023",NA,NA
"2022-08-27","Toronto","OH Region",257,"2022-2023",NA,NA
"2022-08-27","West","OH Region",430,"2022-2023",NA,NA
"2022-09-03","Central","OH Region",241,"2022-2023",NA,NA
"2022-09-03","East","OH Region",238,"2022-2023",NA,NA
"2022-09-03","North East","OH Region",97,"2022-2023",NA,NA
"2022-09-03","North West","OH Region",58,"2022-2023",NA,NA
"2022-09-03","Ontario","Province",1237,"2022-2023",NA,NA
"2022-09-03","Toronto","OH Region",190,"2022-2023",NA,NA
"2022-09-03","West","OH Region",426,"2022-2023",NA,NA
"2022-09-10","Central","OH Region",255,"2022-2023",NA,NA
"2022-09-10","East","OH Region",242,"2022-2023",NA,NA
"2022-09-10","North East","OH Region",99,"2022-2023",NA,NA
"2022-09-10","North West","OH Region",76,"2022-2023",NA,NA
"2022-09-10","Ontario","Province",1253,"2022-2023",NA,NA
"2022-09-10","Toronto","OH Region",205,"2022-2023",NA,NA
"2022-09-10","West","OH Region",392,"2022-2023",NA,NA
"2022-09-17","Central","OH Region",222,"2022-2023",NA,NA
"2022-09-17","East","OH Region",260,"2022-2023",NA,NA
"2022-09-17","North East","OH Region",82,"2022-2023",NA,NA
"2022-09-17","North West","OH Region",52,"2022-2023",NA,NA
"2022-09-17","Ontario","Province",1164,"2022-2023",NA,NA
"2022-09-17","Toronto","OH Region",207,"2022-2023",NA,NA
"2022-09-17","West","OH Region",353,"2022-2023",NA,NA
"2022-09-24","Central","OH Region",230,"2022-2023",NA,NA
"2022-09-24","East","OH Region",288,"2022-2023",NA,NA
"2022-09-24","North East","OH Region",99,"2022-2023",NA,NA
"2022-09-24","North West","OH Region",31,"2022-2023",NA,NA
"2022-09-24","Ontario","Province",1179,"2022-2023",NA,NA
"2022-09-24","Toronto","OH Region",198,"2022-2023",NA,NA
"2022-09-24","West","OH Region",351,"2022-2023",NA,NA
"2022-10-01","Central","OH Region",277,"2022-2023",NA,NA
"2022-10-01","East","OH Region",322,"2022-2023",NA,NA
"2022-10-01","North East","OH Region",109,"2022-2023",NA,NA
"2022-10-01","North West","OH Region",54,"2022-2023",NA,NA
"2022-10-01","Ontario","Province",1306,"2022-2023",NA,NA
"2022-10-01","Toronto","OH Region",203,"2022-2023",NA,NA
"2022-10-01","West","OH Region",354,"2022-2023",NA,NA
"2022-10-08","Central","OH Region",313,"2022-2023",NA,NA
"2022-10-08","East","OH Region",327,"2022-2023",NA,NA
"2022-10-08","North East","OH Region",140,"2022-2023",NA,NA
"2022-10-08","North West","OH Region",76,"2022-2023",NA,NA
"2022-10-08","Ontario","Province",1492,"2022-2023",NA,NA
"2022-10-08","Toronto","OH Region",248,"2022-2023",NA,NA
"2022-10-08","West","OH Region",400,"2022-2023",NA,NA
"2022-10-15","Central","OH Region",344,"2022-2023",NA,NA
"2022-10-15","East","OH Region",363,"2022-2023",NA,NA
"2022-10-15","North East","OH Region",164,"2022-2023",NA,NA
"2022-10-15","North West","OH Region",66,"2022-2023",NA,NA
"2022-10-15","Ontario","Province",1686,"2022-2023",NA,NA
"2022-10-15","Toronto","OH Region",315,"2022-2023",NA,NA
"2022-10-15","West","OH Region",448,"2022-2023",NA,NA
"2022-10-22","Central","OH Region",355,"2022-2023",NA,NA
"2022-10-22","East","OH Region",380,"2022-2023",NA,NA
"2022-10-22","North East","OH Region",169,"2022-2023",NA,NA
"2022-10-22","North West","OH Region",71,"2022-2023",NA,NA
"2022-10-22","Ontario","Province",1839,"2022-2023",NA,NA
"2022-10-22","Toronto","OH Region",374,"2022-2023",NA,NA
"2022-10-22","West","OH Region",504,"2022-2023",NA,NA
"2022-10-29","Central","OH Region",371,"2022-2023",NA,NA
"2022-10-29","East","OH Region",378,"2022-2023",NA,NA
"2022-10-29","North East","OH Region",151,"2022-2023",NA,NA
"2022-10-29","North West","OH Region",60,"2022-2023",NA,NA
"2022-10-29","Ontario","Province",1928,"2022-2023",NA,NA
"2022-10-29","Toronto","OH Region",388,"2022-2023",NA,NA
"2022-10-29","West","OH Region",592,"2022-2023",NA,NA
"2022-11-05","Central","OH Region",355,"2022-2023",NA,NA
"2022-11-05","East","OH Region",334,"2022-2023",NA,NA
"2022-11-05","North East","OH Region",100,"2022-2023",NA,NA
"2022-11-05","North West","OH Region",52,"2022-2023",NA,NA
"2022-11-05","Ontario","Province",1832,"2022-2023",NA,NA
"2022-11-05","Toronto","OH Region",405,"2022-2023",NA,NA
"2022-11-05","West","OH Region",599,"2022-2023",NA,NA
"2022-11-12","Central","OH Region",295,"2022-2023",NA,NA
"2022-11-12","East","OH Region",309,"2022-2023",NA,NA
"2022-11-12","North East","OH Region",90,"2022-2023",NA,NA
"2022-11-12","North West","OH Region",48,"2022-2023",NA,NA
"2022-11-12","Ontario","Province",1635,"2022-2023",NA,NA
"2022-11-12","Toronto","OH Region",359,"2022-2023",NA,NA
"2022-11-12","West","OH Region",547,"2022-2023",NA,NA
"2022-11-19","Central","OH Region",268,"2022-2023",NA,NA
"2022-11-19","East","OH Region",249,"2022-2023",NA,NA
"2022-11-19","North East","OH Region",67,"2022-2023",NA,NA
"2022-11-19","North West","OH Region",53,"2022-2023",NA,NA
"2022-11-19","Ontario","Province",1389,"2022-2023",NA,NA
"2022-11-19","Toronto","OH Region",305,"2022-2023",NA,NA
"2022-11-19","West","OH Region",459,"2022-2023",NA,NA
"2022-11-26","Central","OH Region",253,"2022-2023",NA,NA
"2022-11-26","East","OH Region",190,"2022-2023",NA,NA
"2022-11-26","North East","OH Region",69,"2022-2023",NA,NA
"2022-11-26","North West","OH Region",47,"2022-2023",NA,NA
"2022-11-26","Ontario","Province",1233,"2022-2023",NA,NA
"2022-11-26","Toronto","OH Region",293,"2022-2023",NA,NA
"2022-11-26","West","OH Region",396,"2022-2023",NA,NA
"2022-12-03","Central","OH Region",242,"2022-2023",116,52
"2022-12-03","East","OH Region",207,"2022-2023",90,69
"2022-12-03","North East","OH Region",62,"2022-2023",40,7
"2022-12-03","North West","OH Region",30,"2022-2023",12,9
"2022-12-03","Ontario","Province",1195,"2022-2023",540,321
"2022-12-03","Toronto","OH Region",364,"2022-2023",111,69
"2022-12-03","West","OH Region",305,"2022-2023",183,127
"2022-12-10","Central","OH Region",255,"2022-2023",86,63
"2022-12-10","East","OH Region",215,"2022-2023",96,63
"2022-12-10","North East","OH Region",50,"2022-2023",35,11
"2022-12-10","North West","OH Region",20,"2022-2023",9,2
"2022-12-10","Ontario","Province",1176,"2022-2023",492,335
"2022-12-10","Toronto","OH Region",352,"2022-2023",103,62
"2022-12-10","West","OH Region",298,"2022-2023",176,146
"2022-12-17","Central","OH Region",284,"2022-2023",68,59
"2022-12-17","East","OH Region",227,"2022-2023",85,71
"2022-12-17","North East","OH Region",64,"2022-2023",43,14
"2022-12-17","North West","OH Region",27,"2022-2023",6,9
"2022-12-17","Ontario","Province",1208,"2022-2023",424,342
"2022-12-17","Toronto","OH Region",333,"2022-2023",78,62
"2022-12-17","West","OH Region",287,"2022-2023",159,140
"2022-12-24","Central","OH Region",255,"2022-2023",46,47
"2022-12-24","East","OH Region",208,"2022-2023",60,72
"2022-12-24","North East","OH Region",76,"2022-2023",38,20
"2022-12-24","North West","OH Region",32,"2022-2023",4,11
"2022-12-24","Ontario","Province",1212,"2022-2023",315,324
"2022-12-24","Toronto","OH Region",327,"2022-2023",61,58
"2022-12-24","West","OH Region",330,"2022-2023",120,128
"2022-12-31","Central","OH Region",243,"2022-2023",40,49
"2022-12-31","East","OH Region",212,"2022-2023",38,77
"2022-12-31","North East","OH Region",72,"2022-2023",19,18
"2022-12-31","North West","OH Region",33,"2022-2023",2,13
"2022-12-31","Ontario","Province",1282,"2022-2023",224,334
"2022-12-31","Toronto","OH Region",343,"2022-2023",38,55
"2022-12-31","West","OH Region",394,"2022-2023",99,133
"2023-01-07","Central","OH Region",289,"2022-2023",35,54
"2023-01-07","East","OH Region",217,"2022-2023",41,75
"2023-01-07","North East","OH Region",95,"2022-2023",14,17
"2023-01-07","North West","OH Region",25,"2022-2023",2,8
"2023-01-07","Ontario","Province",1485,"2022-2023",200,333
"2023-01-07","Toronto","OH Region",423,"2022-2023",31,54
"2023-01-07","West","OH Region",448,"2022-2023",91,135
"2023-01-14","Central","OH Region",290,"2022-2023",25,52
"2023-01-14","East","OH Region",221,"2022-2023",25,48
"2023-01-14","North East","OH Region",80,"2022-2023",13,21
"2023-01-14","North West","OH Region",59,"2022-2023",2,9
"2023-01-14","Ontario","Province",1479,"2022-2023",136,285
"2023-01-14","Toronto","OH Region",384,"2022-2023",18,46
"2023-01-14","West","OH Region",462,"2022-2023",68,123
"2023-01-21","Central","OH Region",263,"2022-2023",16,37
"2023-01-21","East","OH Region",219,"2022-2023",19,40
"2023-01-21","North East","OH Region",61,"2022-2023",5,21
"2023-01-21","North West","OH Region",60,"2022-2023",0,10
"2023-01-21","Ontario","Province",1265,"2022-2023",89,220
"2023-01-21","Toronto","OH Region",301,"2022-2023",12,32
"2023-01-21","West","OH Region",378,"2022-2023",49,94
"2023-01-28","Central","OH Region",234,"2022-2023",13,39
"2023-01-28","East","OH Region",222,"2022-2023",12,36
"2023-01-28","North East","OH Region",66,"2022-2023",2,11
"2023-01-28","North West","OH Region",40,"2022-2023",0,9
"2023-01-28","Ontario","Province",1181,"2022-2023",71,192
"2023-01-28","Toronto","OH Region",277,"2022-2023",12,23
"2023-01-28","West","OH Region",358,"2022-2023",40,87
"2023-02-04","Central","OH Region",237,"2022-2023",9,31
"2023-02-04","East","OH Region",199,"2022-2023",12,28
"2023-02-04","North East","OH Region",77,"2022-2023",1,9
"2023-02-04","North West","OH Region",34,"2022-2023",0,6
"2023-02-04","Ontario","Province",1109,"2022-2023",58,156
"2023-02-04","Toronto","OH Region",256,"2022-2023",12,25
"2023-02-04","West","OH Region",322,"2022-2023",36,68
"2023-02-11","Central","OH Region",235,"2022-2023",8,18
"2023-02-11","East","OH Region",204,"2022-2023",8,18
"2023-02-11","North East","OH Region",84,"2022-2023",3,11
"2023-02-11","North West","OH Region",25,"2022-2023",0,5
"2023-02-11","Ontario","Province",1038,"2022-2023",52,119
"2023-02-11","Toronto","OH Region",220,"2022-2023",7,23
"2023-02-11","West","OH Region",282,"2022-2023",37,57
"2023-02-18","Central","OH Region",234,"2022-2023",9,9
"2023-02-18","East","OH Region",196,"2022-2023",10,21
"2023-02-18","North East","OH Region",90,"2022-2023",2,8
"2023-02-18","North West","OH Region",22,"2022-2023",0,3
"2023-02-18","Ontario","Province",1005,"2022-2023",42,99
"2023-02-18","Toronto","OH Region",190,"2022-2023",3,19
"2023-02-18","West","OH Region",289,"2022-2023",27,51
"2023-02-25","Central","OH Region",198,"2022-2023",8,13
"2023-02-25","East","OH Region",221,"2022-2023",7,17
"2023-02-25","North East","OH Region",92,"2022-2023",2,6
"2023-02-25","North West","OH Region",21,"2022-2023",0,1
"2023-02-25","Ontario","Province",992,"2022-2023",36,79
"2023-02-25","Toronto","OH Region",174,"2022-2023",4,15
"2023-02-25","West","OH Region",302,"2022-2023",22,38
"2023-03-04","Central","OH Region",171,"2022-2023",7,10
"2023-03-04","East","OH Region",228,"2022-2023",9,16
"2023-03-04","North East","OH Region",89,"2022-2023",0,11
"2023-03-04","North West","OH Region",22,"2022-2023",5,3
"2023-03-04","Ontario","Province",1008,"2022-2023",45,82
"2023-03-04","Toronto","OH Region",188,"2022-2023",7,14
"2023-03-04","West","OH Region",324,"2022-2023",25,39
"2023-03-11","Central","OH Region",162,"2022-2023",6,12
"2023-03-11","East","OH Region",215,"2022-2023",7,13
"2023-03-11","North East","OH Region",66,"2022-2023",1,6
"2023-03-11","North West","OH Region",28,"2022-2023",0,4
"2023-03-11","Ontario","Province",928,"2022-2023",47,77
"2023-03-11","Toronto","OH Region",183,"2022-2023",15,12
"2023-03-11","West","OH Region",289,"2022-2023",28,39
"2023-03-18","Central","OH Region",143,"2022-2023",7,7
"2023-03-18","East","OH Region",189,"2022-2023",7,10
"2023-03-18","North East","OH Region",60,"2022-2023",2,5
"2023-03-18","North West","OH Region",23,"2022-2023",0,2
"2023-03-18","Ontario","Province",833,"2022-2023",47,56
"2023-03-18","Toronto","OH Region",176,"2022-2023",16,11
"2023-03-18","West","OH Region",258,"2022-2023",24,34
"2023-03-25","Central","OH Region",148,"2022-2023",10,7
"2023-03-25","East","OH Region",178,"2022-2023",5,8
"2023-03-25","North East","OH Region",49,"2022-2023",4,3
"2023-03-25","North West","OH Region",28,"2022-2023",0,1
"2023-03-25","Ontario","Province",797,"2022-2023",44,46
"2023-03-25","Toronto","OH Region",159,"2022-2023",11,8
"2023-03-25","West","OH Region",249,"2022-2023",20,28
"2023-04-01","Central","OH Region",148,"2022-2023",10,9
"2023-04-01","East","OH Region",157,"2022-2023",4,7
"2023-04-01","North East","OH Region",39,"2022-2023",0,3
"2023-04-01","North West","OH Region",22,"2022-2023",0,1
"2023-04-01","Ontario","Province",749,"2022-2023",38,44
"2023-04-01","Toronto","OH Region",141,"2022-2023",10,7
"2023-04-01","West","OH Region",258,"2022-2023",20,25
"2023-04-08","Central","OH Region",154,"2022-2023",13,4
"2023-04-08","East","OH Region",158,"2022-2023",3,6
"2023-04-08","North East","OH Region",41,"2022-2023",1,3
"2023-04-08","North West","OH Region",20,"2022-2023",0,1
"2023-04-08","Ontario","Province",768,"2022-2023",41,33
"2023-04-08","Toronto","OH Region",146,"2022-2023",7,5
"2023-04-08","West","OH Region",263,"2022-2023",24,24
"2023-04-15","Central","OH Region",165,"2022-2023",12,2
"2023-04-15","East","OH Region",132,"2022-2023",4,5
"2023-04-15","North East","OH Region",36,"2022-2023",1,4
"2023-04-15","North West","OH Region",15,"2022-2023",0,0
"2023-04-15","Ontario","Province",746,"2022-2023",40,33
"2023-04-15","Toronto","OH Region",184,"2022-2023",9,7
"2023-04-15","West","OH Region",226,"2022-2023",21,21
"2023-04-22","Central","OH Region",171,"2022-2023",8,7
"2023-04-22","East","OH Region",126,"2022-2023",6,4
"2023-04-22","North East","OH Region",33,"2022-2023",0,3
"2023-04-22","North West","OH Region",15,"2022-2023",0,0
"2023-04-22","Ontario","Province",693,"2022-2023",39,29
"2023-04-22","Toronto","OH Region",173,"2022-2023",9,7
"2023-04-22","West","OH Region",187,"2022-2023",23,18
"2023-04-29","Central","OH Region",136,"2022-2023",10,4
"2023-04-29","East","OH Region",115,"2022-2023",3,2
"2023-04-29","North East","OH Region",31,"2022-2023",0,3
"2023-04-29","North West","OH Region",16,"2022-2023",0,0
"2023-04-29","Ontario","Province",575,"2022-2023",36,23
"2023-04-29","Toronto","OH Region",140,"2022-2023",12,6
"2023-04-29","West","OH Region",151,"2022-2023",14,15
"2023-05-06","Central","OH Region",104,"2022-2023",9,4
