term,individual_p,mean_group_p,min_group_p,max_group_p,std_group_p,consistency
expectorant,0.5587422706153862,0.5587422706153863,0.5587422706153862,0.5587422706153862,1.1102230246251565e-16,Never
fever,0.6549807440795179,0.6549807440795179,0.6549807440795179,0.6549807440795179,0.0,Never
fever and chills,0.9477286651684247,0.9477286651684245,0.9477286651684247,0.9477286651684247,2.220446049250313e-16,Never
fever flu symptoms,0.6174615977842994,0.6174615977842993,0.6174615977842994,0.6174615977842994,1.1102230246251565e-16,Never
fever reducer,0.12962531785187248,0.1296253178518725,0.12962531785187248,0.12962531785187248,2.7755575615628914e-17,Never
fever symptoms,0.6276945515342218,0.6276945515342219,0.6276945515342218,0.6276945515342218,1.1102230246251565e-16,Never
fever with flu,0.48858164985751884,0.48858164985751884,0.48858164985751884,0.48858164985751884,0.0,Never
flu a symptoms,0.5084796035157384,0.5084796035157384,0.5084796035157384,0.5084796035157384,0.0,Never
flu and fever,0.03655142015912882,0.03655142015912882,0.03655142015912882,0.03655142015912882,0.0,Consistent
flu care,0.5427649238624375,0.5427649238624375,0.5427649238624375,0.5427649238624375,0.0,Never
flu children,0.4300849401113013,0.43008494011130133,0.4300849401113013,0.4300849401113013,5.551115123125783e-17,Never
flu cough,0.4449792568791525,0.4449792568791525,0.4449792568791525,0.4449792568791525,0.0,Never
flu headache,0.5512513302137236,0.5512513302137236,0.5512513302137236,0.5512513302137236,0.0,Never
flu incubation,0.6181175831443675,0.6181175831443676,0.6181175831443675,0.6181175831443675,1.1102230246251565e-16,Never
flu like symptoms,0.36881444840207156,0.36881444840207156,0.36881444840207156,0.36881444840207156,0.0,Never
flu medicine,0.01876459037667988,0.01876459037667988,0.01876459037667988,0.01876459037667988,0.0,Consistent
flu remedies,0.12218426308016195,0.12218426308016195,0.12218426308016195,0.12218426308016195,0.0,Never
flu stomach pain,0.004883136082171169,0.004883136082171169,0.004883136082171169,0.004883136082171169,0.0,Consistent
flu test,0.4854081649744525,0.4854081649744526,0.4854081649744525,0.4854081649744525,1.1102230246251565e-16,Never
flu texas,0.001724675340227022,0.001724675340227022,0.001724675340227022,0.001724675340227022,0.0,Consistent
flu treatment,0.21901830556099444,0.21901830556099444,0.21901830556099444,0.21901830556099444,0.0,Never
flu virus,0.5415312064375231,0.541531206437523,0.5415312064375231,0.5415312064375231,1.1102230246251565e-16,Never
food poisoning,0.022309731405878108,0.022309731405878108,0.022309731405878108,0.022309731405878108,0.0,Consistent
food poisoning symptoms,0.0025881310621994613,0.0025881310621994613,0.0025881310621994613,0.0025881310621994613,0.0,Consistent
h1n1,0.04898718597627505,0.04898718597627505,0.04898718597627505,0.04898718597627505,0.0,Consistent
high fever,0.519380756527432,0.5193807565274321,0.519380756527432,0.519380756527432,1.1102230246251565e-16,Never
