"time_value","geo_type","geo_value","rsv_pct_positive","flu_pct_positive","sarscov2_pct_positive","Season"
"2021-07-03","territory","nu",0,0,NA,"2020-2021"
"2021-07-03","territory","yk",0,0,NA,"2020-2021"
"2021-07-03","province","sk",0,0,NA,"2020-2021"
"2021-07-03","province","ab",0,0,NA,"2020-2021"
"2021-06-26","province","sk",0,0,NA,"2020-2021"
"2021-06-26","province","ab",0,0,NA,"2020-2021"
"2021-06-26","territory","nt",0,0,NA,"2020-2021"
"2021-06-26","territory","nu",0,0,NA,"2020-2021"
"2021-06-26","territory","yk",0,0,NA,"2020-2021"
"2021-06-26","province","nb",0,0,NA,"2020-2021"
"2021-06-26","province","mb",0,0,NA,"2020-2021"
"2021-06-26","province","nl",0,0,NA,"2020-2021"
"2021-06-26","province","ns",0,0,NA,"2020-2021"
"2021-06-26","province","pe",0,0,NA,"2020-2021"
"2021-06-19","province","pe",0,0,NA,"2020-2021"
"2021-06-19","province","mb",0,0,NA,"2020-2021"
"2021-06-19","province","nb",0,0,NA,"2020-2021"
"2021-06-19","province","nl",0,0,NA,"2020-2021"
"2021-06-19","province","ns",0,0,NA,"2020-2021"
"2021-06-19","territory","yk",0,0,NA,"2020-2021"
"2021-06-19","territory","nu",0,0,NA,"2020-2021"
"2021-06-19","territory","nt",0,0,NA,"2020-2021"
"2021-06-19","province","sk",0,0,NA,"2020-2021"
"2021-06-19","province","ab",NA,NA,NA,"2020-2021"
"2021-06-12","province","ns",0,0,NA,"2020-2021"
"2021-06-12","province","nl",0,0,NA,"2020-2021"
"2021-06-12","province","nb",0,0,NA,"2020-2021"
"2021-06-12","province","mb",0,0.06,NA,"2020-2021"
"2021-06-12","territory","yk",0,0,NA,"2020-2021"
"2021-06-12","territory","nu",0,0,NA,"2020-2021"
"2021-06-12","province","pe",0,0,NA,"2020-2021"
"2021-06-12","province","sk",0,0,NA,"2020-2021"
"2021-06-12","territory","nt",0,0,NA,"2020-2021"
"2021-06-12","province","ab",0,0,NA,"2020-2021"
"2021-06-05","territory","yk",0,0,NA,"2020-2021"
"2021-06-05","territory","nt",0,0,NA,"2020-2021"
"2021-06-05","territory","nu",0,0,NA,"2020-2021"
"2021-06-05","province","pe",0,0,NA,"2020-2021"
"2021-06-05","province","ab",0,0,NA,"2020-2021"
"2021-06-05","province","sk",0,0,NA,"2020-2021"
"2021-06-05","province","ns",0,0,NA,"2020-2021"
"2021-06-05","province","nl",0,0,NA,"2020-2021"
"2021-06-05","province","nb",0,0,NA,"2020-2021"
"2021-06-05","province","mb",0,0,NA,"2020-2021"
"2021-05-29","province","sk",0,0,NA,"2020-2021"
"2021-05-29","territory","nt",0,0,NA,"2020-2021"
"2021-05-29","territory","yk",0,0,NA,"2020-2021"
"2021-05-29","territory","nu",0,0,NA,"2020-2021"
"2021-05-29","province","ab",0,0,NA,"2020-2021"
"2021-05-29","province","pe",0,0,NA,"2020-2021"
"2021-05-29","province","ns",0,0,NA,"2020-2021"
"2021-05-29","province","nl",0,0,NA,"2020-2021"
"2021-05-29","province","nb",0,0,NA,"2020-2021"
"2021-05-29","province","mb",0,0,NA,"2020-2021"
"2021-05-22","territory","yk",0,0,NA,"2020-2021"
"2021-05-22","territory","nu",0,0,NA,"2020-2021"
"2021-05-22","territory","nt",0,0,NA,"2020-2021"
"2021-05-22","province","sk",0,0,NA,"2020-2021"
"2021-05-22","province","mb",0,0.05,NA,"2020-2021"
"2021-05-22","province","ab",0,0,NA,"2020-2021"
"2021-05-22","province","nb",0,0,NA,"2020-2021"
"2021-05-22","province","pe",0,0,NA,"2020-2021"
"2021-05-22","province","ns",0,0,NA,"2020-2021"
"2021-05-22","province","nl",0,0,NA,"2020-2021"
"2021-05-15","province","pe",0,0,NA,"2020-2021"
"2021-05-15","territory","nt",0,0,NA,"2020-2021"
"2021-05-15","province","ns",0,0,NA,"2020-2021"
"2021-05-15","province","nl",0,0,NA,"2020-2021"
"2021-05-15","province","nb",0,0,NA,"2020-2021"
"2021-05-15","province","mb",0,0.04,NA,"2020-2021"
"2021-05-15","territory","yk",0,0,NA,"2020-2021"
"2021-05-15","territory","nu",0,0,NA,"2020-2021"
"2021-05-15","province","sk",0,0,NA,"2020-2021"
"2021-05-15","province","ab",0,0.05,NA,"2020-2021"
"2021-05-08","province","pe",0,0,NA,"2020-2021"
"2021-05-08","province","ns",0,0,NA,"2020-2021"
"2021-05-08","province","nl",0,0,NA,"2020-2021"
"2021-05-08","province","sk",0,0,NA,"2020-2021"
"2021-05-08","province","ab",0,0,NA,"2020-2021"
"2021-05-08","territory","nt",0,0,NA,"2020-2021"
"2021-05-08","territory","nu",0,0,NA,"2020-2021"
"2021-05-08","territory","yk",0,0,NA,"2020-2021"
"2021-05-08","province","mb",0,0,NA,"2020-2021"
"2021-05-08","province","nb",0,0,NA,"2020-2021"
"2021-05-01","territory","nt",0,0,NA,"2020-2021"
"2021-05-01","territory","nu",0,0,NA,"2020-2021"
"2021-05-01","province","ns",0,0,NA,"2020-2021"
"2021-05-01","province","nl",0,0,NA,"2020-2021"
"2021-05-01","province","nb",0,0,NA,"2020-2021"
"2021-05-01","province","mb",0,0,NA,"2020-2021"
"2021-05-01","province","pe",0,0,NA,"2020-2021"
"2021-05-01","province","sk",0,0.01,NA,"2020-2021"
"2021-05-01","province","ab",0,0,NA,"2020-2021"
"2021-05-01","territory","yk",0,0,NA,"2020-2021"
"2021-04-24","province","ns",0,0,NA,"2020-2021"
"2021-04-24","province","nl",0,0,NA,"2020-2021"
"2021-04-24","province","mb",0,0,NA,"2020-2021"
